Freq [GHz],"dB(St(P1,P3)) []","dB(St(P1,P3))_2 []","dB(St(P1,P4))_4 []"
1.91,-27.122,-22.777,-40.992426
1.92,-26.9416,-22.679,-40.940512
1.93,-26.7612,-22.581,-40.891426
1.94,-26.586,-22.48679167,-40.846708
1.95,-26.416,-22.396375,-40.80567
1.96,-26.24832,-22.30736,-40.769176
1.97,-26.10152,-22.23096,-40.745582
1.98,-25.95472,-22.15456,-40.734788
1.99,-25.81753846,-22.08430769,-40.713126
2,-25.68575,-22.018,-40.6828
2.01,-25.55233333,-21.95183333,-40.668174
2.02,-25.42566667,-21.89016667,-40.663548
2.03,-25.31330769,-21.83761538,-40.656528
2.04,-25.2,-21.785,-40.648304
2.05,-25.08966667,-21.73566667,-40.64526
2.06,-24.989,-21.692,-40.644232
2.07,-24.8915,-21.651,-40.65395
2.08,-24.799,-21.613,-40.6668
2.09,-24.714125,-21.581125,-40.670704
2.1,-24.62925,-21.551,-40.67276
2.11,-24.55242857,-21.52514286,-40.701148
2.12,-24.479875,-21.503,-40.733016
2.13,-24.40571429,-21.48228571,-40.74705
2.14,-24.34,-21.46675,-40.7599
2.15,-24.2828,-21.45833333,-40.80386
2.16,-24.2268,-21.45166667,-40.847608
2.17,-24.1708,-21.445,-40.882046
2.18,-24.12141379,-21.45506897,-40.916484
2.19,-24.07486207,-21.47231034,-40.950922
2.2,-24.02831034,-21.48955172,-40.98888
2.21,-23.9918,-21.473,-41.045934
2.22,-23.9578,-21.448,-41.0991
2.23,-23.9238,-21.423,-41.13765
2.24,-23.89833333,-21.434,-41.183
2.25,-23.875,-21.454,-41.24725
2.26,-23.85166667,-21.474,-41.310352
2.27,-23.8366,-21.49746667,-41.371004
2.28,-23.8236,-21.5218,-41.42916
2.29,-23.8106,-21.54613333,-41.48313
2.3,-23.80524138,-21.57665517,-41.54854
2.31,-23.8017931,-21.60872414,-41.629238
2.32,-23.79834483,-21.6407931,-41.701256
2.33,-23.8037,-21.6773,-41.763964
2.34,-23.81003333,-21.7143,-41.829156
2.35,-23.81636667,-21.7513,-41.89649
2.36,-23.8314,-21.794,-41.970512
2.37,-23.8474,-21.83733333,-42.049154
