Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_3 []"
6.607495069,-22.891,-22.306,-22.797,-22.4336,-23.419
6.627218935,-22.923,-22.338,-22.825,-22.4336,-23.419
6.646942801,-22.94,-22.356,-22.841,-22.4306,-23.416
6.666666667,-22.944,-22.361,-22.844,-22.4256,-23.411
6.686390533,-22.983,-22.395,-22.872,-22.3176,-23.303
6.706114398,-23.008,-22.415,-22.887,-22.1876,-23.173
6.725838264,-23.069,-22.461,-22.919,-22.2006,-23.186
6.74556213,-23.117,-22.494,-22.939,-22.1956,-23.181
6.765285996,-23.173,-22.559,-22.976,-22.2256,-23.211
6.785009862,-23.22,-22.614,-23,-22.2396,-23.225
6.804733728,-23.206,-22.65,-23.042,-22.2756,-23.261
6.824457594,-23.18,-22.679,-23.072,-22.2986,-23.284
6.84418146,-23.197,-22.591,-23.116,-22.3406,-23.326
6.863905325,-23.202,-22.485,-23.148,-22.3686,-23.354
6.883629191,-23.241,-22.514,-23.18,-22.4156,-23.401
6.903353057,-23.269,-22.534,-23.197,-22.4496,-23.435
6.923076923,-23.316,-22.587,-23.19,-22.5006,-23.486
6.942800789,-23.353,-22.629,-23.168,-22.5396,-23.525
6.962524655,-23.405,-22.684,-23.179,-22.5956,-23.581
6.982248521,-23.446,-22.728,-23.185,-22.6396,-23.625
7.001972387,-23.502,-22.782,-23.232,-22.6976,-23.683
7.021696252,-23.547,-22.827,-23.274,-22.7466,-23.732
7.041420118,-23.605,-22.882,-23.331,-22.8076,-23.793
7.061143984,-23.653,-22.927,-23.379,-22.8596,-23.845
7.08086785,-23.712,-22.982,-23.437,-22.9236,-23.909
7.100591716,-23.762,-23.028,-23.486,-22.9786,-23.964
7.120315582,-23.823,-23.085,-23.543,-23.0446,-24.03
7.140039448,-23.875,-23.132,-23.592,-23.1016,-24.087
7.159763314,-23.945,-23.196,-23.657,-23.1746,-24.16
7.179487179,-24.007,-23.253,-23.715,-23.2406,-24.226
7.199211045,-24.058,-23.298,-23.761,-23.2946,-24.28
7.218934911,-24.117,-23.352,-23.816,-23.3546,-24.34
7.238658777,-24.185,-23.416,-23.881,-23.4206,-24.406
7.258382643,-24.242,-23.468,-23.935,-23.4766,-24.462
7.278106509,-24.293,-23.514,-23.982,-23.5246,-24.51
7.297830375,-24.367,-23.584,-24.054,-23.5836,-24.569
7.317554241,-24.43,-23.643,-24.115,-23.6376,-24.623
7.337278107,-24.481,-23.691,-24.165,-23.6856,-24.671
7.357001972,-24.551,-23.759,-24.235,-23.8126,-24.798
7.376725838,-24.619,-23.825,-24.303,-23.9456,-24.931
7.396449704,-24.675,-23.88,-24.36,-24.0586,-25.044
7.41617357,-24.733,-23.936,-24.418,-24.1326,-25.118
7.435897436,-24.795,-23.998,-24.482,-24.1686,-25.154
7.455621302,-24.859,-24.062,-24.548,-24.2176,-25.203
7.475345168,-24.918,-24.122,-24.61,-24.2656,-25.251
7.495069034,-24.981,-24.187,-24.676,-24.3206,-25.306
7.514792899,-25.04,-24.248,-24.738,-24.3736,-25.359
7.534516765,-25.097,-24.308,-24.8,-24.4256,-25.411
7.554240631,-25.153,-24.367,-24.859,-24.4766,-25.462
7.573964497,-25.208,-24.425,-24.918,-24.5286,-25.514
7.593688363,-25.262,-24.483,-24.975,-24.5796,-25.565
7.613412229,-25.315,-24.54,-25.033,-24.6316,-25.617
7.633136095,-25.365,-24.594,-25.086,-24.6806,-25.666
7.652859961,-25.414,-24.648,-25.139,-24.7286,-25.714
7.672583826,-25.458,-24.697,-25.187,-24.7726,-25.758
7.692307692,-25.505,-24.748,-25.237,-24.8196,-25.805
7.712031558,-25.547,-24.796,-25.283,-24.8626,-25.848
7.731755424,-25.588,-24.842,-25.327,-24.9046,-25.89
7.75147929,-25.629,-24.887,-25.371,-24.9456,-25.931
7.771203156,-25.665,-24.928,-25.41,-24.9826,-25.968
7.790927022,-25.705,-24.973,-25.452,-25.0236,-26.009
7.810650888,-25.74,-25.013,-25.49,-25.0586,-26.044
7.830374753,-25.776,-25.052,-25.528,-25.0946,-26.08
7.850098619,-25.813,-25.092,-25.565,-25.1296,-26.115
7.869822485,-25.845,-25.128,-25.598,-25.1596,-26.145
7.889546351,-25.885,-25.168,-25.636,-25.1946,-26.18
7.909270217,-25.921,-25.204,-25.67,-25.2246,-26.21
7.928994083,-25.961,-25.242,-25.704,-25.2546,-26.24
7.948717949,-26,-25.276,-25.736,-25.2816,-26.267
7.968441815,-26.043,-25.314,-25.77,-25.3116,-26.297
7.98816568,-26.079,-25.352,-25.803,-25.3396,-26.325
8.007889546,-26.059,-25.392,-25.837,-25.3696,-26.355
