Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_4 []"
6.470588235,-22.09,-22.608,-23.917,-22.66,-22.463
6.488970588,-22.093,-22.62,-23.952,-22.663,-22.455
6.507352941,-22.119,-22.65,-23.954,-22.698,-22.474
6.525735294,-22.135,-22.668,-23.955,-22.723,-22.482
6.544117647,-22.139,-22.676,-23.954,-22.737,-22.479
6.5625,-22.163,-22.701,-23.864,-22.792,-22.499
6.580882353,-22.183,-22.721,-23.731,-22.848,-22.517
6.599264706,-22.192,-22.731,-23.577,-22.895,-22.522
6.617647059,-22.212,-22.751,-23.539,-22.928,-22.543
6.636029412,-22.238,-22.776,-23.589,-22.955,-22.572
6.654411765,-22.253,-22.79,-23.625,-22.98,-22.589
6.672794118,-22.269,-22.805,-23.658,-22.95,-22.611
6.691176471,-22.298,-22.833,-23.699,-22.799,-22.653
6.709558824,-22.316,-22.849,-23.728,-22.629,-22.684
6.727941176,-22.346,-22.876,-23.766,-22.604,-22.74
6.746323529,-22.376,-22.903,-23.803,-22.655,-22.806
6.764705882,-22.396,-22.92,-23.828,-22.69,-22.861
6.783088235,-22.438,-22.957,-23.873,-22.744,-23
6.801470588,-22.472,-22.986,-23.908,-22.787,-23.14
6.819852941,-22.503,-23.011,-23.939,-22.826,-23.197
6.838235294,-22.556,-23.053,-23.985,-22.876,-22.996
6.856617647,-22.597,-23.083,-24.019,-22.915,-22.797
6.875,-22.648,-23.116,-24.056,-22.954,-22.7
6.893382353,-22.715,-23.155,-24.096,-22.997,-22.688
6.911764706,-22.805,-23.199,-24.139,-23.041,-22.731
6.930147059,-22.939,-23.249,-24.184,-23.087,-22.784
6.948529412,-23.056,-23.302,-24.229,-23.133,-22.837
6.966911765,-23.112,-23.361,-24.274,-23.178,-22.888
6.985294118,-22.932,-23.433,-24.321,-23.226,-22.942
7.003676471,-22.846,-23.528,-24.371,-23.276,-22.997
7.022058824,-22.816,-23.647,-24.421,-23.324,-23.05
7.040441176,-22.832,-23.788,-24.47,-23.373,-23.103
7.058823529,-22.872,-23.886,-24.523,-23.425,-23.158
7.077205882,-22.914,-23.734,-24.576,-23.476,-23.213
7.095588235,-22.96,-23.555,-24.631,-23.529,-23.269
7.113970588,-23.008,-23.489,-24.687,-23.582,-23.325
7.132352941,-23.056,-23.506,-24.745,-23.636,-23.382
7.150735294,-23.107,-23.554,-24.805,-23.692,-23.441
7.169117647,-23.155,-23.606,-24.865,-23.746,-23.498
7.1875,-23.208,-23.663,-24.931,-23.804,-23.559
7.205882353,-23.256,-23.717,-24.996,-23.859,-23.616
7.224264706,-23.308,-23.774,-25.068,-23.918,-23.677
7.242647059,-23.36,-23.831,-25.147,-23.977,-23.738
7.261029412,-23.409,-23.884,-25.228,-24.033,-23.796
7.279411765,-23.463,-23.942,-25.335,-24.096,-23.86
7.297794118,-23.514,-23.997,-25.446,-24.157,-23.92
7.316176471,-23.565,-24.052,-25.569,-24.22,-23.981
7.334558824,-23.618,-24.109,-25.54,-24.286,-24.044
