Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []"
3.229571984,-21.339,-22.469,-20.505,-36.138
3.249027237,-21.269,-22.449,-20.432,-36.071
3.26848249,-21.185,-22.418,-20.346,-35.977
3.287937743,-21.125,-22.401,-20.281,-35.94
3.307392996,-21.063,-22.382,-20.213,-35.904
3.326848249,-20.988,-22.351,-20.133,-35.84
3.346303502,-20.932,-22.317,-20.07,-35.819
3.365758755,-20.878,-22.278,-20.007,-35.803
3.385214008,-20.814,-22.241,-19.936,-35.77
3.404669261,-20.778,-22.272,-19.89,-35.792
3.424124514,-20.726,-22.289,-19.829,-35.785
3.443579767,-20.687,-22.289,-19.781,-35.801
3.463035019,-20.653,-22.274,-19.738,-35.829
3.482490272,-20.605,-22.248,-19.681,-35.832
3.501945525,-20.59,-22.243,-19.657,-35.892
3.521400778,-20.559,-22.226,-19.617,-35.926
3.540856031,-20.526,-22.206,-19.572,-35.958
3.560311284,-20.508,-22.194,-19.549,-36.013
3.579766537,-20.505,-22.188,-19.57,-36.092
3.59922179,-20.507,-22.184,-19.565,-36.179
3.618677043,-20.492,-22.168,-19.544,-36.242
3.638132296,-20.483,-22.153,-19.531,-36.314
3.657587549,-20.497,-22.151,-19.546,-36.42
3.677042802,-20.495,-22.136,-19.544,-36.505
3.696498054,-20.495,-22.122,-19.546,-36.592
3.715953307,-20.521,-22.12,-19.575,-36.715
3.73540856,-20.531,-22.107,-19.589,-36.819
3.754863813,-20.539,-22.092,-19.601,-36.92
3.774319066,-20.575,-22.091,-19.642,-37.057
3.793774319,-20.596,-22.08,-19.668,-37.177
3.813229572,-20.612,-22.063,-19.689,-37.29
3.832684825,-20.657,-22.064,-19.74,-37.434
3.852140078,-20.688,-22.054,-19.777,-37.564
3.871595331,-20.711,-22.036,-19.805,-37.685
3.891050584,-20.763,-22.038,-19.862,-37.829
3.910505837,-20.802,-22.029,-19.905,-37.962
3.929961089,-20.829,-22.011,-19.938,-38.085
3.949416342,-20.887,-22.014,-19.998,-38.222
3.968871595,-20.931,-22.005,-20.046,-38.349
3.988326848,-20.962,-21.986,-20.081,-38.467
4.007782101,-21.022,-21.99,-20.142,-38.587
4.027237354,-21.07,-21.983,-20.19,-38.699
4.046692607,-21.105,-21.965,-20.227,-38.804
4.06614786,-21.163,-21.968,-20.284,-38.899
4.085603113,-21.212,-21.963,-20.332,-38.988
4.105058366,-21.249,-21.945,-20.368,-39.07
4.124513619,-21.303,-21.949,-20.419,-39.135
4.143968872,-21.35,-21.944,-20.463,-39.193
4.163424125,-21.387,-21.928,-20.497,-39.245
4.182879377,-21.436,-21.931,-20.541,-39.275
4.20233463,-21.48,-21.928,-20.58,-39.297
4.221789883,-21.513,-21.914,-20.608,-39.314
4.241245136,-21.556,-21.917,-20.645,-39.308
4.260700389,-21.594,-21.916,-20.677,-39.292
4.280155642,-21.623,-21.904,-20.699,-39.271
4.299610895,-21.655,-21.901,-20.725,-39.232
4.319066148,-21.684,-21.897,-20.746,-39.182
4.338521401,-21.712,-21.897,-20.767,-39.119
4.357976654,-21.735,-21.893,-20.783,-39.046
4.377431907,-21.758,-21.894,-20.798,-38.961
4.39688716,-21.776,-21.892,-20.808,-38.867
4.416342412,-21.791,-21.893,-20.817,-38.764
4.435797665,-21.803,-21.893,-20.822,-38.652
4.455252918,-21.813,-21.895,-20.825,-38.533
4.474708171,-21.818,-21.896,-20.824,-38.407
4.494163424,-21.821,-21.898,-20.821,-38.276
4.513618677,-21.82,-21.901,-20.815,-38.139
4.53307393,-21.815,-21.904,-20.806,-38
4.552529183,-21.807,-21.909,-20.794,-37.857
4.571984436,-21.795,-21.912,-20.78,-37.713
4.591439689,-21.78,-21.918,-20.763,-37.569
4.610894942,-21.761,-21.923,-20.743,-37.425
4.630350195,-21.739,-21.93,-20.722,-37.284
4.649805447,-21.712,-21.935,-20.697,-37.143
4.6692607,-21.683,-21.945,-20.671,-37.01
4.688715953,-21.65,-21.95,-20.642,-36.876
4.708171206,-21.614,-21.961,-20.613,-36.756
4.727626459,-21.574,-21.967,-20.579,-36.633
4.747081712,-21.533,-21.979,-20.547,-36.529
4.766536965,-21.485,-21.984,-20.508,-36.415
4.785992218,-21.437,-21.993,-20.472,-36.321
4.805447471,-21.386,-22.003,-20.433,-36.235
4.824902724,-21.333,-22.013,-20.395,-36.161
4.844357977,-21.28,-22.025,-20.357,-36.1
4.86381323,-21.225,-22.036,-20.317,-36.048
4.883268482,-21.169,-22.047,-20.278,-36.006
4.902723735,-21.113,-22.058,-20.239,-35.974
4.922178988,-21.059,-22.07,-20.201,-35.955
4.941634241,-21.012,-22.087,-20.169,-35.963
4.961089494,-20.953,-22.093,-20.126,-35.945
4.980544747,-20.913,-22.11,-20.098,-35.973
5,-20.859,-22.116,-20.056,-35.974
5.019455253,-20.83,-22.133,-20.033,-36.022
5.038910506,-20.785,-22.139,-19.996,-36.042
5.058365759,-20.768,-22.155,-19.977,-36.104
5.077821012,-20.736,-22.162,-19.946,-36.143
5.097276265,-20.732,-22.177,-19.933,-36.217
5.116731518,-20.715,-22.184,-19.908,-36.272
5.13618677,-20.724,-22.198,-19.902,-36.357
5.155642023,-20.722,-22.204,-19.884,-36.426
5.175097276,-20.742,-22.217,-19.885,-36.52
5.194552529,-20.754,-22.223,-19.876,-36.602
5.214007782,-20.782,-22.235,-19.885,-36.704
5.233463035,-20.802,-22.24,-19.885,-36.797
5.252918288,-20.841,-22.255,-19.909,-36.916
5.272373541,-20.875,-22.265,-19.929,-37.03
5.291828794,-20.894,-22.264,-19.932,-37.125
5.311284047,-20.93,-22.275,-19.963,-37.249
5.3307393,-20.965,-22.284,-19.997,-37.376
5.350194553,-20.986,-22.282,-20.014,-37.485
5.369649805,-21.02,-22.29,-20.053,-37.617
5.389105058,-21.054,-22.298,-20.099,-37.756
5.408560311,-21.075,-22.296,-20.128,-37.879
5.428015564,-21.107,-22.301,-20.174,-38.018
5.447470817,-21.144,-22.308,-20.229,-38.168
5.46692607,-21.167,-22.305,-20.269,-38.304
5.486381323,-21.201,-22.307,-20.32,-38.45
5.505836576,-21.244,-22.314,-20.382,-38.608
5.525291829,-21.273,-22.31,-20.429,-38.754
5.544747082,-21.31,-22.31,-20.484,-38.904
5.564202335,-21.361,-22.316,-20.549,-39.065
5.583657588,-21.399,-22.311,-20.602,-39.216
5.60311284,-21.442,-22.309,-20.657,-39.364
5.622568093,-21.502,-22.316,-20.725,-39.517
5.642023346,-21.548,-22.312,-20.78,-39.663
5.661478599,-21.597,-22.308,-20.834,-39.8
5.680933852,-21.664,-22.315,-20.901,-39.931
5.700389105,-21.719,-22.311,-20.956,-40.057
5.719844358,-21.771,-22.305,-21.007,-40.171
5.739299611,-21.837,-22.309,-21.067,-40.268
5.758754864,-21.891,-22.302,-21.117,-40.361
5.778210117,-21.962,-22.31,-21.177,-40.424
5.79766537,-22.021,-22.307,-21.226,-40.483
5.817120623,-22.086,-22.312,-21.28,-40.517
5.836575875,-22.148,-22.314,-21.329,-40.537
5.856031128,-22.207,-22.315,-21.376,-40.542
5.875486381,-22.27,-22.322,-21.424,-40.526
5.894941634,-22.324,-22.32,-21.464,-40.502
5.914396887,-22.384,-22.332,-21.51,-40.454
5.93385214,-22.435,-22.332,-21.547,-40.4
5.953307393,-22.49,-22.344,-21.588,-40.33
5.972762646,-22.538,-22.35,-21.623,-40.251
5.992217899,-22.585,-22.36,-21.657,-40.164
6.011673152,-22.629,-22.372,-21.689,-40.068
6.031128405,-22.668,-22.379,-21.716,-39.967
6.050583658,-22.708,-22.397,-21.747,-39.862
6.070038911,-22.739,-22.403,-21.768,-39.749
6.089494163,-22.773,-22.426,-21.795,-39.641
6.108949416,-22.799,-22.439,-21.814,-39.524
6.128404669,-22.824,-22.459,-21.835,-39.412
6.147859922,-22.845,-22.478,-21.852,-39.297
6.167315175,-22.861,-22.496,-21.865,-39.182
6.186770428,-22.878,-22.521,-21.88,-39.074
6.206225681,-22.886,-22.536,-21.887,-38.954
6.225680934,-22.898,-22.568,-21.901,-38.858
6.245136187,-22.901,-22.589,-21.905,-38.745
6.26459144,-22.906,-22.619,-21.913,-38.653
