Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []"
1.084812623,-29.192,-28.611,-29.514,-29.908
1.104536489,-29.138,-28.554,-29.415,-29.788
1.124260355,-29.07,-28.484,-29.302,-29.656
1.143984221,-28.988,-28.397,-29.173,-29.511
1.163708087,-28.899,-28.303,-29.039,-29.366
1.183431953,-28.789,-28.188,-28.884,-29.221
1.203155819,-28.677,-28.071,-28.729,-29.076
1.222879684,-28.543,-27.933,-28.558,-28.924
1.24260355,-28.406,-27.79,-28.383,-28.772
1.262327416,-28.255,-27.635,-28.202,-28.61
1.282051282,-28.096,-27.472,-28.015,-28.442
1.301775148,-27.931,-27.303,-27.826,-28.269
1.321499014,-27.755,-27.124,-27.633,-28.087
1.34122288,-27.576,-26.943,-27.439,-27.903
1.360946746,-27.39,-26.755,-27.245,-27.712
1.380670611,-27.201,-26.564,-27.049,-27.518
1.400394477,-27.011,-26.373,-26.858,-27.324
1.420118343,-26.817,-26.178,-26.664,-27.126
1.439842209,-26.625,-25.986,-26.476,-26.93
1.459566075,-26.432,-25.793,-26.289,-26.734
1.479289941,-26.24,-25.602,-26.103,-26.538
1.499013807,-26.054,-25.417,-25.926,-26.349
1.518737673,-25.863,-25.226,-25.742,-26.154
1.538461538,-25.69,-25.055,-25.579,-25.976
1.558185404,-25.508,-24.874,-25.405,-25.789
1.57790927,-25.345,-24.713,-25.25,-25.619
1.597633136,-25.179,-24.548,-25.091,-25.445
1.617357002,-25.025,-24.397,-24.942,-25.282
1.637080868,-24.879,-24.254,-24.8,-25.125
1.656804734,-24.735,-24.112,-24.657,-24.968
1.6765286,-24.618,-23.998,-24.535,-24.83
1.696252465,-24.486,-23.87,-24.398,-24.679
1.715976331,-24.41,-23.799,-24.3,-24.564
1.735700197,-24.317,-23.713,-24.185,-24.433
1.755424063,-24.295,-23.704,-24.122,-24.328
1.775147929,-24.286,-23.712,-24.066,-24.22
1.794871795,-24.334,-23.793,-24.048,-24.115
1.814595661,-24.593,-24.151,-24.153,-24.029
1.834319527,-25.573,-25.304,-24.553,-23.957
1.854043393,-23.737,-20.843,-25.881,-23.896
1.873767258,-21.637,-21.225,-20.277,-23.852
1.893491124,-22.196,-21.673,-21.428,-23.828
1.91321499,-22.409,-21.845,-22.033,-23.833
1.932938856,-22.5,-21.918,-22.25,-23.88
1.952662722,-22.539,-21.948,-22.346,-24.001
1.972386588,-22.553,-21.957,-22.389,-24.286
1.992110454,-22.555,-21.957,-22.408,-25.056
2.01183432,-22.551,-21.951,-22.414,-26.569
2.031558185,-22.544,-21.944,-22.415,-21.268
2.051282051,-22.538,-21.937,-22.414,-21.848
2.071005917,-22.534,-21.932,-22.413,-22.189
2.090729783,-22.532,-21.929,-22.413,-22.371
2.110453649,-22.532,-21.928,-22.415,-22.48
2.130177515,-22.535,-21.93,-22.419,-22.553
2.149901381,-22.547,-21.942,-22.433,-22.611
2.169625247,-22.569,-21.963,-22.455,-22.664
2.189349112,-22.573,-21.967,-22.461,-22.698
2.209072978,-22.581,-21.974,-22.469,-22.729
2.228796844,-22.611,-22.002,-22.499,-22.773
2.24852071,-22.625,-22.015,-22.513,-22.8
2.268244576,-22.64,-22.029,-22.528,-22.827
2.287968442,-22.676,-22.065,-22.564,-22.872
2.307692308,-22.698,-22.085,-22.585,-22.901
2.327416174,-22.72,-22.106,-22.606,-22.929
2.347140039,-22.761,-22.146,-22.646,-22.975
2.366863905,-22.789,-22.172,-22.672,-23.008
2.386587771,-22.816,-22.197,-22.697,-23.038
2.406311637,-22.859,-22.24,-22.738,-23.083
2.426035503,-22.891,-22.27,-22.768,-23.117
2.445759369,-22.92,-22.298,-22.794,-23.147
2.465483235,-22.965,-22.342,-22.836,-23.191
2.485207101,-22.998,-22.374,-22.867,-23.224
2.504930966,-23.028,-22.403,-22.894,-23.252
2.524654832,-23.072,-22.448,-22.936,-23.29
2.544378698,-23.106,-22.482,-22.967,-23.319
2.564102564,-23.138,-22.514,-22.995,-23.342
2.58382643,-23.186,-22.564,-23.039,-23.373
2.603550296,-23.224,-22.605,-23.073,-23.394
2.623274162,-23.259,-22.644,-23.103,-23.409
2.642998028,-23.313,-22.705,-23.148,-23.425
2.662721893,-23.384,-22.789,-23.203,-23.437
2.682445759,-23.487,-22.917,-23.275,-23.446
2.702169625,-23.651,-23.129,-23.375,-23.451
2.721893491,-23.987,-23.594,-23.541,-23.452
2.741617357,-24.753,-24.633,-23.844,-23.45
2.761341223,-23.055,-21.4,-24.54,-23.444
2.781065089,-21.813,-21.089,-24.773,-23.436
2.800788955,-22.108,-21.411,-21.236,-23.426
2.820512821,-22.265,-21.567,-21.558,-23.415
2.840236686,-22.341,-21.644,-21.836,-23.405
2.859960552,-22.369,-21.675,-21.973,-23.399
2.879684418,-22.369,-21.677,-22.033,-23.402
2.899408284,-22.35,-21.661,-22.053,-23.42
2.91913215,-22.318,-21.632,-22.046,-23.471
2.938856016,-22.276,-21.593,-22.022,-23.589
2.958579882,-22.226,-21.546,-21.985,-23.85
2.978303748,-22.17,-21.492,-21.939,-24.422
2.998027613,-22.108,-21.434,-21.885,-23.696
3.017751479,-22.043,-21.373,-21.827,-21.195
3.037475345,-21.975,-21.308,-21.763,-21.41
3.057199211,-21.904,-21.241,-21.697,-21.61
3.076923077,-21.831,-21.172,-21.629,-21.696
3.096646943,-21.758,-21.102,-21.56,-21.722
3.116370809,-21.683,-21.032,-21.49,-21.716
3.136094675,-21.609,-20.961,-21.421,-21.693
3.15581854,-21.535,-20.892,-21.352,-21.658
3.175542406,-21.463,-20.823,-21.286,-21.617
3.195266272,-21.399,-20.763,-21.228,-21.574
3.214990138,-21.322,-20.69,-21.158,-21.518
3.234714004,-21.262,-20.635,-21.105,-21.468
3.25443787,-21.189,-20.566,-21.039,-21.405
3.274161736,-21.135,-20.516,-20.993,-21.354
3.293885602,-21.067,-20.452,-20.932,-21.288
3.313609467,-21.02,-20.409,-20.892,-21.24
3.333333333,-20.958,-20.35,-20.837,-21.176
3.353057199,-20.928,-20.324,-20.811,-21.144
3.372781065,-20.882,-20.282,-20.771,-21.095
3.392504931,-20.821,-20.225,-20.715,-21.03
3.412228797,-20.803,-20.21,-20.698,-21.009
3.431952663,-20.769,-20.18,-20.666,-20.973
3.451676529,-20.719,-20.134,-20.618,-20.919
3.471400394,-20.712,-20.13,-20.608,-20.912
3.49112426,-20.69,-20.112,-20.584,-20.889
3.510848126,-20.652,-20.077,-20.544,-20.849
3.530571992,-20.655,-20.085,-20.54,-20.855
3.550295858,-20.644,-20.079,-20.524,-20.847
3.570019724,-20.617,-20.057,-20.492,-20.821
3.58974359,-20.626,-20.076,-20.496,-20.84
3.609467456,-20.622,-20.083,-20.488,-20.846
3.629191321,-20.601,-20.074,-20.464,-20.835
3.648915187,-20.609,-20.109,-20.475,-20.864
3.668639053,-20.605,-20.134,-20.476,-20.883
3.688362919,-20.585,-20.142,-20.461,-20.885
3.708086785,-20.589,-20.184,-20.464,-20.906
3.727810651,-20.608,-20.257,-20.472,-20.933
3.747534517,-20.638,-20.253,-20.485,-20.964
3.767258383,-20.671,-19.811,-20.5,-20.998
3.786982249,-20.707,-19.996,-20.519,-21.033
3.806706114,-20.745,-20.086,-20.541,-21.072
3.82642998,-20.797,-20.151,-20.583,-21.126
3.846153846,-20.839,-20.203,-20.615,-21.171
3.865877712,-20.867,-20.24,-20.632,-21.201
3.885601578,-20.918,-20.292,-20.678,-21.255
3.905325444,-20.964,-20.336,-20.719,-21.303
3.92504931,-20.996,-20.366,-20.746,-21.338
3.944773176,-21.049,-20.416,-20.798,-21.392
3.964497041,-21.098,-20.459,-20.846,-21.442
3.984220907,-21.133,-20.49,-20.88,-21.479
4.003944773,-21.187,-20.539,-20.935,-21.532
4.023668639,-21.236,-20.583,-20.986,-21.58
4.043392505,-21.274,-20.615,-21.025,-21.617
4.063116371,-21.327,-20.662,-21.08,-21.667
4.082840237,-21.376,-20.705,-21.131,-21.712
4.102564103,-21.413,-20.737,-21.171,-21.747
4.122287968,-21.463,-20.781,-21.222,-21.792
4.142011834,-21.51,-20.822,-21.269,-21.833
4.1617357,-21.546,-20.852,-21.305,-21.863
4.181459566,-21.59,-20.892,-21.35,-21.902
4.201183432,-21.632,-20.929,-21.39,-21.936
4.220907298,-21.664,-20.955,-21.42,-21.961
4.240631164,-21.701,-20.99,-21.455,-21.992
4.26035503,-21.736,-21.021,-21.486,-22.02
4.280078895,-21.76,-21.042,-21.508,-22.037
4.299802761,-21.789,-21.068,-21.532,-22.06
4.319526627,-21.813,-21.092,-21.553,-22.079
4.339250493,-21.829,-21.105,-21.564,-22.089
4.358974359,-21.846,-21.123,-21.578,-22.102
4.378698225,-21.859,-21.137,-21.587,-22.112
4.398422091,-21.863,-21.141,-21.588,-22.112
4.418145957,-21.868,-21.148,-21.59,-22.116
4.437869822,-21.868,-21.151,-21.59,-22.116
4.457593688,-21.859,-21.145,-21.58,-22.107
4.477317554,-21.851,-21.14,-21.573,-22.101
4.49704142,-21.839,-21.132,-21.563,-22.091
4.516765286,-21.817,-21.115,-21.544,-22.073
4.536489152,-21.797,-21.099,-21.529,-22.057
4.556213018,-21.773,-21.081,-21.512,-22.038
4.575936884,-21.74,-21.052,-21.485,-22.01
4.59566075,-21.711,-21.028,-21.463,-21.985
4.615384615,-21.679,-21.001,-21.441,-21.958
4.635108481,-21.637,-20.964,-21.408,-21.921
4.654832347,-21.602,-20.933,-21.383,-21.888
4.674556213,-21.566,-20.902,-21.357,-21.854
4.694280079,-21.52,-20.86,-21.321,-21.81
4.714003945,-21.483,-20.827,-21.293,-21.772
4.733727811,-21.448,-20.795,-21.268,-21.733
4.753451677,-21.401,-20.752,-21.23,-21.684
4.773175542,-21.367,-20.72,-21.202,-21.642
4.792899408,-21.337,-20.692,-21.178,-21.602
4.812623274,-21.294,-20.652,-21.141,-21.551
4.83234714,-21.266,-20.625,-21.115,-21.509
4.852071006,-21.244,-20.604,-21.095,-21.472
4.871794872,-21.209,-20.57,-21.061,-21.422
4.891518738,-21.187,-20.549,-21.039,-21.383
4.911242604,-21.176,-20.538,-21.023,-21.353
4.930966469,-21.15,-20.512,-20.995,-21.308
4.950690335,-21.137,-20.499,-20.977,-21.277
4.970414201,-21.136,-20.497,-20.969,-21.257
4.990138067,-21.12,-20.48,-20.946,-21.221
5.009861933,-21.116,-20.475,-20.935,-21.201
5.029585799,-21.124,-20.482,-20.935,-21.194
5.049309665,-21.118,-20.473,-20.919,-21.171
5.069033531,-21.122,-20.476,-20.915,-21.163
5.088757396,-21.139,-20.49,-20.923,-21.171
5.108481262,-21.141,-20.489,-20.916,-21.163
5.128205128,-21.152,-20.498,-20.918,-21.168
5.147928994,-21.176,-20.519,-20.935,-21.191
5.16765286,-21.186,-20.525,-20.936,-21.198
5.187376726,-21.203,-20.539,-20.946,-21.216
5.207100592,-21.232,-20.565,-20.97,-21.253
5.226824458,-21.248,-20.577,-20.979,-21.273
5.246548323,-21.269,-20.595,-20.996,-21.303
5.266272189,-21.304,-20.626,-21.027,-21.35
5.285996055,-21.324,-20.643,-21.044,-21.381
5.305719921,-21.35,-20.664,-21.067,-21.42
5.325443787,-21.388,-20.699,-21.105,-21.474
5.345167653,-21.413,-20.72,-21.129,-21.514
5.364891519,-21.441,-20.745,-21.157,-21.558
5.384615385,-21.483,-20.784,-21.2,-21.618
5.40433925,-21.511,-20.809,-21.229,-21.664
5.424063116,-21.542,-20.837,-21.262,-21.712
5.443786982,-21.586,-20.879,-21.31,-21.774
5.463510848,-21.618,-20.908,-21.344,-21.824
5.483234714,-21.647,-20.935,-21.376,-21.87
5.50295858,-21.684,-20.97,-21.416,-21.925
5.522682446,-21.726,-21.01,-21.461,-21.984
5.542406312,-21.765,-21.048,-21.503,-22.04
5.562130178,-21.805,-21.087,-21.546,-22.097
5.581854043,-21.849,-21.131,-21.593,-22.158
5.601577909,-21.889,-21.17,-21.636,-22.215
5.621301775,-21.933,-21.214,-21.681,-22.276
5.641025641,-21.978,-21.259,-21.727,-22.338
5.660749507,-22.025,-21.307,-21.774,-22.403
5.680473373,-22.073,-21.355,-21.82,-22.469
5.700197239,-22.121,-21.403,-21.866,-22.536
5.719921105,-22.175,-21.457,-21.917,-22.625
5.73964497,-22.238,-21.515,-21.973,-22.76
5.759368836,-22.3,-21.573,-22.029,-22.907
5.779092702,-22.362,-21.631,-22.085,-23.024
5.798816568,-22.423,-21.688,-22.141,-23.003
5.818540434,-22.484,-21.745,-22.195,-22.83
5.8382643,-22.544,-21.802,-22.249,-22.719
5.857988166,-22.604,-21.859,-22.302,-22.733
5.877712032,-22.664,-21.915,-22.354,-22.793
5.897435897,-22.726,-21.972,-22.404,-22.862
5.917159763,-22.79,-22.03,-22.455,-22.927
5.936883629,-22.861,-22.091,-22.504,-22.987
5.956607495,-22.942,-22.157,-22.553,-23.041
5.976331361,-23.045,-22.231,-22.602,-23.089
5.996055227,-23.186,-22.321,-22.651,-23.132
6.015779093,-23.332,-22.438,-22.702,-23.17
6.035502959,-23.133,-22.604,-22.755,-23.203
6.055226824,-22.802,-22.777,-22.815,-23.231
6.07495069,-22.675,-22.561,-22.885,-23.255
6.094674556,-22.696,-22.159,-22.975,-23.274
6.114398422,-22.737,-21.972,-23.101,-23.291
6.134122288,-22.774,-21.98,-23.274,-23.303
6.153846154,-22.803,-22.024,-23.393,-23.312
6.17357002,-22.825,-22.065,-22.985,-23.318
6.193293886,-22.844,-22.1,-22.591,-23.323
6.213017751,-22.864,-22.134,-22.609,-23.331
6.232741617,-22.872,-22.156,-22.602,-23.329
6.252465483,-22.874,-22.17,-22.582,-23.32
6.272189349,-22.886,-22.192,-22.619,-23.323
6.291913215,-22.887,-22.204,-22.644,-23.316
6.311637081,-22.88,-22.207,-22.659,-23.301
6.331360947,-22.889,-22.224,-22.683,-23.302
6.351084813,-22.886,-22.23,-22.696,-23.292
6.370808679,-22.875,-22.228,-22.699,-23.274
6.390532544,-22.883,-22.243,-22.718,-23.276
6.41025641,-22.879,-22.246,-22.725,-23.267
6.429980276,-22.864,-22.24,-22.721,-23.247
6.449704142,-22.863,-22.244,-22.728,-23.241
6.469428008,-22.86,-22.248,-22.734,-23.234
6.489151874,-22.859,-22.253,-22.74,-23.232
6.50887574,-22.861,-22.259,-22.748,-23.234
6.528599606,-22.863,-22.266,-22.755,-23.24
6.548323471,-22.866,-22.273,-22.764,-23.254
6.568047337,-22.888,-22.297,-22.787,-23.324
6.587771203,-22.896,-22.308,-22.798,-23.38
6.607495069,-22.891,-22.306,-22.797,-23.419
6.627218935,-22.923,-22.338,-22.825,-23.419
6.646942801,-22.94,-22.356,-22.841,-23.416
6.666666667,-22.944,-22.361,-22.844,-23.411
6.686390533,-22.983,-22.395,-22.872,-23.303
6.706114398,-23.008,-22.415,-22.887,-23.173
6.725838264,-23.069,-22.461,-22.919,-23.186
6.74556213,-23.117,-22.494,-22.939,-23.181
6.765285996,-23.173,-22.559,-22.976,-23.211
6.785009862,-23.22,-22.614,-23,-23.225
6.804733728,-23.206,-22.65,-23.042,-23.261
6.824457594,-23.18,-22.679,-23.072,-23.284
6.84418146,-23.197,-22.591,-23.116,-23.326
6.863905325,-23.202,-22.485,-23.148,-23.354
6.883629191,-23.241,-22.514,-23.18,-23.401
6.903353057,-23.269,-22.534,-23.197,-23.435
6.923076923,-23.316,-22.587,-23.19,-23.486
6.942800789,-23.353,-22.629,-23.168,-23.525
6.962524655,-23.405,-22.684,-23.179,-23.581
6.982248521,-23.446,-22.728,-23.185,-23.625
7.001972387,-23.502,-22.782,-23.232,-23.683
7.021696252,-23.547,-22.827,-23.274,-23.732
7.041420118,-23.605,-22.882,-23.331,-23.793
7.061143984,-23.653,-22.927,-23.379,-23.845
7.08086785,-23.712,-22.982,-23.437,-23.909
7.100591716,-23.762,-23.028,-23.486,-23.964
7.120315582,-23.823,-23.085,-23.543,-24.03
7.140039448,-23.875,-23.132,-23.592,-24.087
7.159763314,-23.945,-23.196,-23.657,-24.16
7.179487179,-24.007,-23.253,-23.715,-24.226
7.199211045,-24.058,-23.298,-23.761,-24.28
7.218934911,-24.117,-23.352,-23.816,-24.34
7.238658777,-24.185,-23.416,-23.881,-24.406
7.258382643,-24.242,-23.468,-23.935,-24.462
7.278106509,-24.293,-23.514,-23.982,-24.51
7.297830375,-24.367,-23.584,-24.054,-24.569
7.317554241,-24.43,-23.643,-24.115,-24.623
7.337278107,-24.481,-23.691,-24.165,-24.671
7.357001972,-24.551,-23.759,-24.235,-24.798
7.376725838,-24.619,-23.825,-24.303,-24.931
7.396449704,-24.675,-23.88,-24.36,-25.044
7.41617357,-24.733,-23.936,-24.418,-25.118
7.435897436,-24.795,-23.998,-24.482,-25.154
7.455621302,-24.859,-24.062,-24.548,-25.203
7.475345168,-24.918,-24.122,-24.61,-25.251
7.495069034,-24.981,-24.187,-24.676,-25.306
7.514792899,-25.04,-24.248,-24.738,-25.359
7.534516765,-25.097,-24.308,-24.8,-25.411
7.554240631,-25.153,-24.367,-24.859,-25.462
7.573964497,-25.208,-24.425,-24.918,-25.514
7.593688363,-25.262,-24.483,-24.975,-25.565
7.613412229,-25.315,-24.54,-25.033,-25.617
7.633136095,-25.365,-24.594,-25.086,-25.666
7.652859961,-25.414,-24.648,-25.139,-25.714
7.672583826,-25.458,-24.697,-25.187,-25.758
7.692307692,-25.505,-24.748,-25.237,-25.805
7.712031558,-25.547,-24.796,-25.283,-25.848
7.731755424,-25.588,-24.842,-25.327,-25.89
7.75147929,-25.629,-24.887,-25.371,-25.931
7.771203156,-25.665,-24.928,-25.41,-25.968
7.790927022,-25.705,-24.973,-25.452,-26.009
7.810650888,-25.74,-25.013,-25.49,-26.044
7.830374753,-25.776,-25.052,-25.528,-26.08
7.850098619,-25.813,-25.092,-25.565,-26.115
7.869822485,-25.845,-25.128,-25.598,-26.145
7.889546351,-25.885,-25.168,-25.636,-26.18
7.909270217,-25.921,-25.204,-25.67,-26.21
7.928994083,-25.961,-25.242,-25.704,-26.24
7.948717949,-26,-25.276,-25.736,-26.267
7.968441815,-26.043,-25.314,-25.77,-26.297
7.98816568,-26.079,-25.352,-25.803,-26.325
8.007889546,-26.059,-25.392,-25.837,-26.355
8.027613412,-25.947,-25.433,-25.871,-26.384
8.047337278,-25.87,-25.477,-25.905,-26.414
8.067061144,-25.89,-25.524,-25.938,-26.444
8.08678501,-25.944,-25.574,-25.972,-26.476
8.106508876,-25.997,-25.625,-26.005,-26.509
8.126232742,-26.046,-25.661,-26.037,-26.544
8.145956607,-26.091,-25.619,-26.068,-26.582
8.165680473,-26.134,-25.472,-26.097,-26.62
8.185404339,-26.176,-25.378,-26.124,-26.661
8.205128205,-26.217,-25.417,-26.148,-26.704
8.224852071,-26.262,-25.492,-26.173,-26.751
8.244575937,-26.302,-25.56,-26.192,-26.793
8.264299803,-26.348,-25.626,-26.215,-26.84
8.284023669,-26.393,-25.687,-26.238,-26.884
8.303747535,-26.435,-25.742,-26.26,-26.924
8.3234714,-26.486,-25.799,-26.291,-26.964
8.343195266,-26.533,-25.849,-26.328,-27.003
8.362919132,-26.578,-25.89,-26.366,-27.041
8.382642998,-26.631,-25.938,-26.415,-27.089
8.402366864,-26.682,-25.984,-26.461,-27.135
8.42209073,-26.733,-26.029,-26.506,-27.18
8.441814596,-26.794,-26.081,-26.558,-27.233
8.461538462,-26.855,-26.131,-26.608,-27.285
8.481262327,-26.918,-26.18,-26.656,-27.335
8.500986193,-26.997,-26.237,-26.711,-27.393
8.520710059,-27.084,-26.292,-26.764,-27.449
8.540433925,-27.183,-26.347,-26.816,-27.505
8.560157791,-27.318,-26.411,-26.875,-27.567
8.579881657,-27.413,-26.475,-26.931,-27.627
8.599605523,-27.454,-26.541,-26.988,-27.686
8.619329389,-27.393,-26.619,-27.051,-27.752
8.639053254,-27.355,-26.7,-27.112,-27.815
8.65877712,-27.363,-26.79,-27.174,-27.878
8.678500986,-27.41,-26.905,-27.243,-27.947
8.698224852,-27.459,-27.026,-27.308,-28.011
8.717948718,-27.519,-27.162,-27.379,-28.079
8.737672584,-27.582,-27.21,-27.453,-28.148
8.75739645,-27.647,-27.069,-27.53,-28.218
8.777120316,-27.712,-26.932,-27.613,-28.289
8.796844181,-27.779,-26.912,-27.702,-28.361
8.816568047,-27.846,-26.957,-27.801,-28.435
8.836291913,-27.914,-27.02,-27.91,-28.512
8.856015779,-27.981,-27.091,-28.031,-28.592
8.875739645,-28.048,-27.164,-28.143,-28.679
8.895463511,-28.115,-27.237,-28.163,-28.774
8.915187377,-28.182,-27.31,-28.039,-28.861
8.934911243,-28.247,-27.383,-27.93,-28.909
8.954635108,-28.313,-27.455,-27.931,-28.937
8.974358974,-28.38,-27.53,-28.003,-28.986
8.99408284,-28.44,-27.597,-28.074,-29.032
9.013806706,-28.503,-27.671,-28.16,-29.094
9.033530572,-28.559,-27.737,-28.238,-29.15
9.053254438,-28.62,-27.808,-28.32,-29.213
9.072978304,-28.677,-27.874,-28.395,-29.27
9.09270217,-28.757,-27.943,-28.471,-29.33
9.112426036,-28.843,-28.007,-28.542,-29.386
9.132149901,-28.965,-28.072,-28.614,-29.442
9.151873767,-29.059,-28.135,-28.682,-29.494
9.171597633,-29.115,-28.198,-28.749,-29.545
9.191321499,-29.165,-28.26,-28.814,-29.594
9.211045365,-29.208,-28.321,-28.876,-29.641
9.230769231,-29.252,-28.391,-28.938,-29.686
9.250493097,-29.294,-28.461,-28.996,-29.727
9.270216963,-29.335,-28.551,-29.052,-29.767
9.289940828,-29.377,-28.676,-29.108,-29.804
9.309664694,-29.417,-28.797,-29.162,-29.839
9.32938856,-29.456,-28.848,-29.216,-29.872
9.349112426,-29.493,-28.855,-29.269,-29.902
9.368836292,-29.528,-28.862,-29.323,-29.93
9.388560158,-29.562,-28.878,-29.378,-29.955
9.408284024,-29.594,-28.9,-29.439,-29.976
9.42800789,-29.624,-28.925,-29.508,-29.995
9.447731755,-29.651,-28.952,-29.587,-30.009
9.467455621,-29.677,-28.979,-29.663,-30.017
9.487179487,-29.698,-29.006,-29.691,-30.019
9.506903353,-29.716,-29.033,-29.647,-30.01
9.526627219,-29.728,-29.059,-29.606,-29.986
9.546351085,-29.726,-29.085,-29.595,-29.938
9.566074951,-29.704,-29.11,-29.603,-29.873
9.585798817,-29.653,-29.135,-29.62,-29.844
9.605522682,-29.605,-29.159,-29.641,-29.937
9.625246548,-29.641,-29.184,-29.666,-30.104
9.644970414,-29.714,-29.207,-29.691,-30.247
9.66469428,-29.801,-29.23,-29.716,-30.338
9.684418146,-29.866,-29.255,-29.743,-30.391
9.704142012,-29.919,-29.281,-29.772,-30.432
9.723865878,-29.963,-29.306,-29.801,-30.467
9.743589744,-30.003,-29.331,-29.83,-30.499
9.763313609,-30.041,-29.356,-29.862,-30.531
9.783037475,-30.08,-29.38,-29.896,-30.565
9.802761341,-30.118,-29.399,-29.932,-30.6
9.822485207,-30.157,-29.416,-29.968,-30.635
9.842209073,-30.199,-29.444,-30.007,-30.674
9.861932939,-30.242,-29.489,-30.049,-30.714
9.881656805,-30.289,-29.536,-30.094,-30.758
9.901380671,-30.339,-29.583,-30.143,-30.804
9.921104536,-30.394,-29.63,-30.197,-30.853
9.940828402,-30.453,-29.678,-30.256,-30.905
9.960552268,-30.519,-29.727,-30.322,-30.96
9.980276134,-30.594,-29.779,-30.394,-31.018
10,-30.676,-29.832,-30.46,-31.079
