Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3_1 []"
3.03,-16.9654,-24.07788,-35.365054
3.04,-16.92104,-24.008,-35.291768
3.05,-16.87664,-23.938,-35.22906
3.06,-16.8324,-23.8664,-35.16124
3.07,-16.783,-23.79,-35.08928
3.08,-16.739,-23.72,-35.012016
3.09,-16.694,-23.65,-34.931318
3.1,-16.65,-23.58,-34.86796
3.11,-16.606,-23.51,-34.813476
3.12,-16.562,-23.441,-34.753104
3.13,-16.518,-23.371,-34.690396
3.14,-16.474,-23.3025,-34.619768
3.15,-16.4305,-23.234,-34.54678
3.16,-16.3875,-23.166,-34.49796
3.17,-16.345,-23.0985,-34.45427
3.18,-16.3035,-23.032,-34.405156
3.19,-16.26022222,-22.96233333,-34.355298
3.2,-16.218,-22.8946,-34.29392
3.21,-16.1792,-22.8312,-34.231726
3.22,-16.1424,-22.7694,-34.200012
3.23,-16.1076,-22.709,-34.168526
3.24,-16.0754,-22.6508,-34.134088
3.25,-16.0468,-22.595,-34.0983
3.26,-16.0218,-22.542,-34.049984
3.27,-16.0026,-22.4924,-34.006114
3.28,-15.99,-22.4466,-33.987096
3.29,-15.9814,-22.404,-33.968184
3.3,-15.9752,-22.364,-33.94968
3.31,-15.96275,-22.3215,-33.927424
3.32,-15.9362,-22.2724,-33.894528
3.33,-15.8964,-22.2212,-33.868598
3.34,-15.8444,-22.1654,-33.857804
3.35,-15.785,-22.107,-33.84796
3.36,-15.7246,-22.0484,-33.839736
3.37,-15.6654,-21.9908,-33.827806
3.38,-15.60775,-21.93375,-33.810844
3.39,-15.55438462,-21.88,-33.807412
3.4,-15.50516667,-21.82983333,-33.81872
3.41,-15.456,-21.779,-33.822082
3.42,-15.41292308,-21.73438462,-33.818484
3.43,-15.36908333,-21.68891667,-33.821832
3.44,-15.32616667,-21.64433333,-33.830056
3.45,-15.28592308,-21.60246154,-33.84224
3.46,-15.249,-21.564,-33.856632
3.47,-15.21066667,-21.52483333,-33.862074
3.48,-15.17516,-21.48916,-33.863616
3.49,-15.14036,-21.45436,-33.88716
3.5,-15.10628,-21.42064,-33.918
3.51,-15.07388,-21.38944,-33.938076
3.52,-15.04148,-21.35824,-33.955552
3.53,-15.01068,-21.3296,-33.972144
3.54,-14.98028,-21.3016,-33.988592
3.55,-14.95,-21.27425,-34.01585
3.56,-14.92,-21.24841667,-34.04412
3.57,-14.89,-21.22258333,-34.084342
3.58,-14.8634,-21.2016,-34.125044
3.59,-14.83717778,-21.18115556,-34.169762
